Project Status,1st Review,2nd Review,Average Score,Initial Review Notes,Project #,Project Combined,Project Title,Need:,Idea:,Coordinates,Location?,Project Type,Dept.,Who Benefits?,Council District ,Neighborhood
Did Not Advance,14,7,10.5,Coordinate with the Neighborhood Greenway Program if there are improvements at this location,17-650,,Improve Pedestrian Signal @ 8th Ave & NW 58th St,Bike route crossing 8th Ave NW at NW 58th St has no light that can be triggered from one's bike.,Put a button on the road like there is at the crossing for 15th so that bikers can make the light change.,"47.670920, -122.366170",NW 58th St and 8th Ave NW,Crossing Improvements,SDOT,"Anyone biking East-West through North Seattle, children attending West Woodland Elementary (I watched in horror as a minivan came within a foot of hitting a child last fall)",6,Ballard
Did Not Advance,10,15,12.5,,17-651,,Improve intersection of NW 58th & 20th Ave NW,"Cars heading South on 20th Ave NW between 65th and Market St do not always notice the 4-way stop signed intersections (notably NW 58th St, which is a greenbelt), and frequently blow through the stop sign at high, downhill speeds. I live on NW 58th St and witness this almost weekly. I'm fearful of a terrible accident occurring there, especially in low visibility conditions.","Install a hanging flashing intersection indicator, or a flashing stop sign, or painted streets to indicate an upcoming 4-way intersection","47.670920, -122.382130",NW 58th St & 20th Ave NW,Other,SDOT,"motorists, bicyclists, pedestrians!",6,Ballard
Did Not Advance,4,4,4,,17-652,,Traffic Calming along 62nd & 11th ,Speeding on our street and undefined right of ways in blind intersections,Traffic circle or yeild signs. ,"47.674180, -122.364000","Nw 62nd & 11th , nw 62nd & 9th",Traffic-Calming,SDOT,Drivers & residents. There are a lot kids on this street,6,Ballard
Did Not Advance,6,11,8.5,,17-653,,Paint crosswalks and install crossing signs at NW 65th St & 34th Ave NW,34th Ave NW is a popular walking street. It's scary to cross the street because some drivers speed. ,Paint crosswalks & install pedestrian crossing signs    ,"47.675787, -122.401074",NW 65th St & 34th Ave NW (to help pedestrians cross 65th when walking along 34th),Signage,SDOT,Pedestrians & cyclists,6,Sunset Hill
Did Not Advance,17,6,11.5,Coordinate with SRTS program if this is in their work plan,17-654,,Traffic Calming near Green Lake Elementary,Speed in front of school,Camera enforced school zone ,"47.676040, -122.328800",65th Ave in front of Greenlake Elementary ,School Safety,SDOT,"Children, students, staff and families ",6,Green Lake
Did Not Advance,10,15,12.5,,17-656,,Install speed limit and counter signs along Seaview Ave NW,Cars speed on Seaview Ave NW,Install speed limit signs and speed counters (like they have in school zones) so drivers can see how fast they are going. ,"47.677894, -122.406068","Along Seaview Ave NW, especially on the stretch from the Locks to Golden Gardens",Traffic-Calming,SDOT,"Pedestrians, cyclists, motorists ",6,Sunset Hill
Did Not Advance,15,11,13,,17-659,,Pedestrian Visibility Improvements near NE 70th St & 5th Ave NE,"Dangerous intersection @ Weedin Pl, NE 70th & 5th Ave NE",Add a flashing beacon to create more visibility for pedestrians,"47.679395, -122.322665","Weedin Pl, NE 70th, & 5th Ave NE",Crossing Improvements,SDOT,"Neighbors, bicyclists, drivers, seniors, person with limited mobility, SHA Greenlake Plaza residents",6,Green Lake
Did Not Advance,16,13,14.5,,17-660,,Install curb cuts along 32nd Ave NW & NW 70th St ,I don't have a car & do my errands via bus & walking. I use a rolling carrier to transport heavy loads. It would be helpful to have curb cuts on the sidewalks so it's easier to roll heavy loads (and so bottles don't get broken in my carrier because of the impact of going up & down curbs). ,Install curb cuts along 32nd Ave NW & NW 70th St & other streets that are major walking routes that connect to crossing lights. ,"47.679446, -122.398408",Along 32nd Ave NW. Also along NW 70th St between 24th Ave NW & 32nd Ave NW,Crossing Improvements,SDOT,"People using wheelchairs, strollers, rolling shopping carts, handtrucks, etc. Also people who have mobility impairments for whom steps are a challenge",6,Sunset Hill
Did Not Advance,2,2,2,,17-663,,Beautify median along Aurora Ave,"Ugly, run down medians on Aurora Ave between N 70th and N 90th and beyond. ",Native plantings on the medians. ,"47.679545, -122.345400",N 70th to N 90th and beyond. ,Green Infrastructure,SDOT,Neighbors and all who use the heavily traveled Aurora Ave. ,6,Greenwood
Did Not Advance,11,10,10.5,,17-665,,Accessibility Improvements @ 70th St & 6th Ave NE,Persons with limited mobility have difficulty getting around.,Install curb cuts/curb ramps at NW and SW corners of 70th & 6th Ave S,"47.679570, -122.321760",NW and SW corners of 70th & 6th Ave NE,Accessibility Improvements,SDOT,"Seniors, persons with limited mobility, parents with strollers, bicyclists",6,Green Lake
Did Not Advance,10,15,12.5,,17-666,,Crossing improvements from Shilshole to Burke-Gilman,"Cars speeding on Seaview Ave NW, so it's scary to cross the street","Install a pedestrian crossing light at the south entrance to Shilshole Marina. There is already a crosswalk there (thank you for building that), but it could use lights (like the crosswalk on 24th Ave NW & NW 58th St) ","47.680097, -122.404056",On Seaview Ave NW at the south entrance to Shilshole Marina where many people cross from the Burke Gilman trail into the Marina. There is already a crosswalk painted in that location,Crossing Improvements,SDOT,"Pedestrians, cyclists, motorists ",6,Sunset Hill
Did Not Advance,10,15,12.5,,17-670,,Construct a crosswalk spanning Seaview Ave NW adjacent to Shilshole Marina Building,There needs to be another cross-walk across Seaview Ave. that is further north and adjacent to the Shilshole Marina Bldg.  Cars often speed down this street and people are always crossing Seaview in this particular location.,Create a cross-walk at 7001 Seaview Ave NW.,"47.680406, -122.404458",7001 Seaview Ave NW,Crossing Improvements,SDOT,All people who park their cars along Seaview Ave. and utilize Golden Gardens Park and/or Shilshole Bay Marina.  Pedestrians who use Burke-Gilman Trail and East sidewalks along Seaview Ave.,6,Ballard
Did Not Advance,10,4,7,,17-671,,Traffic Calming near 72nd St and Dayton Ave,Cars speed on my road.,Traffic circle or painted intersection to slow cars down.,"47.681080, -122.352660",72nd and Dayton,Traffic-Calming,SDOT,The immediate neighborhood and EVERYONE who walks through this intersection regularly.,6,Phinney Ridge 
Did Not Advance,4,6,5,,17-672,,Improve crossing @ 73rd & Linden Ave N,"Crossing 73rd on Linden Ave N on the West side of the street is very nerve wracking with my kids, especially, but also when I'm alone.  Especially in the morning on the way to school, but all times of day. Cars are trying to get across the very busy Linden to get to Aurora and don't realize pedestrians are there too.  Or cars are turning off Linden to go west on 73rd and again don't realize people could be there.  I need to keep my kids super close to me and walk us quickly as cars turn and came very close to hitting us, not realizing we could be there.  I think there is so much going on that people have too much to pay attention to and pedestrians are forgotten.  Just after, or just before,(depending on whether we're going to or from school)  we cross 73rd we need to cross over Linden at Winona.  Cars on Linden going south need to stop in the walkway available to get across the street to see traffic before going again in the intersection and often times don't see us walking on the southwest side of the street due to tall plants.  When they stop, in the space for walking, you have to wait for them to turn before you can walk across from the opposite side as well as there is no place to get across.  You're also watching carefully at Winona to make sure the cars turning into Linden going north see that you're there.  It's a scary place to walk with kids.",The crosswalk needs to be highlighted in some way to remind drivers to watch for pedestrians.  Painted crosswalk is one idea.,"47.681810, -122.346430","73rd and Linden, West side of the street.  Also Linden and Winona.",Crossing Improvements,SDOT,Pedestrians,6,Green Lake
Did Not Advance,6,4,5,,17-674,,Paint crosswalks and install crossing signs at south entrance to Sunset Hill Park,Scary to cross the street,Paint crosswalk and install pedestrian crossing signs across 34th Ave NW @ the south entrance to Sunset Hill Park,"47.683493, -122.400749",South entrance of Sunset Hill Park at 34th Ave NW & NW 75th St,Crossing Improvements,SDOT,"Pedestrians, cyclists",6,Sunset Hill
Did Not Advance,14,5,9.5,,17-675,,Higher ped visibility near Linden & N 77th,"The crossing at N 77th and Linden is potentially dangerous. It is a challenge to see cars coming on Linden while walking or driving across it. Cars use it as an alternative to Aurora and often are driving down the street at high speeds and don't see or respect the crosswalk. I think there should be a stop sign, roundabout, or a lighted crosswalk, with flags, at this intersection. Many children who attend Bagley Elementary cross at this street. ",see above,"47.684780, -122.347250",Linden & N 77th,Crossing Improvements,SDOT,Children and families in the neighborhood. ,6,Greenwood
Did Not Advance,11,4,7.5,,17-681,,"Traffic-calming on Densmore Ave N, near 80th St",The speed of cars traveling through residential roads...leading to accidents and death. ,"A mid-block speed bump on Densmore Ave N between 80th and 82nd, as cars are often speeding in excess of 50mph on a residential road, endangering the many residents, young kids, and students at the two neighborhood schools.     Flashing crosswalk lights imbedded into the street for Bagley elementary kids often crossing the street without a cross-guard, located at 80th and Stone Way. ","47.686910, -122.337850",Densmore Ave N between 80th and 82nd,Traffic-Calming,SDOT,"Residents, children, pedestrians, and many drivers. ",6,Green Lake
Did Not Advance,8,13,10.5,,17-682,,Curb-bulbs @ NW 80th St & 13th Ave NW,We have a crosswalk in our neighborhood that is heavily used by school children attending Whittier Elementary. The crosswalk crosses NW 80th St. and 13th Ave NW. NW 80th St. has a design speed higher than the normal 30mph speed limit. The crosswalk is also at the bottom of a hill from the west that causes increased vehicle speeds.,A curb bulb extending from the north side of NW 80th Street at the 13th Ave NW intersection would shorten the crossing length of the intersection. ,"47.686910, -122.372770",NW 80th Street and 13th Ave NW,Crossing Improvements,SDOT,Children walking to school and all other pedestrians that frequent this heavily used marked crossing.,6,Whitter Heights
